"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address"
"https://www.cybozu.com/jp/","text/html; charset=UTF-8","200","OK","Indexable","","サイボウズのクラウドサービスについて　cybozu.com","29","487","サイボウズのクラウドサービスを安心してご利用いただけるよう、セキュリティ、購入方法、サポート情報をご紹介しております。","59","826","グループウェア,クラウド,サイボウズ,サイボーズ,cybozu,saas,asp,低価格,office,kintone,キントーン,garoon,ガルーン,kunai,サイボウズドットコム,モバイル,スマートフォン","107","","0","サイボウズのクラウド","10","導入相談","4","各製品サービスサイト","10","","","","","","","","","","47023","73","5.655","0","","65","62","100.000","85","51","54","40","","","","","35330db1134c61777fa13f8a67ccdbfa","0.099","Fri, 29 Jan 2021 05:28:38 GMT","","","","HTTP/1.1","https://www.cybozu.com/jp/"
"https://www.cybozu.com/jp/src/images/common/ico-security_human.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.088","Fri, 31 May 2019 09:11:29 GMT","","","","HTTP/1.1","https://www.cybozu.com/jp/src/images/common/ico-security_human.svg"
"https://www.cybozu.com/jp/buy/partner/","text/html; charset=UTF-8","200","OK","Indexable","","パートナーから購入する | サイボウズ製品サイト cybozu.com","35","550","サイボウズのクラウドサービスOfficeやGaroon（ガルーン）、kintoneなど様々なコラボレーションツールの購入方法をご紹介しています。","72","873","グループウェア,クラウド,サイボウズ,サイボーズ,cybozu,saas,asp,低価格,office,kintone,キントーン,garoon,ガルーン,kunai,サイボウズドットコム,モバイル,スマートフォン","107","","0","購入方法","4","導入相談","4","各製品サービスサイト","10","","","","","","","","","","38943","59","5.272","1","","5","3","4.840","79","46","49","37","","","","","33e7b5047d943d794f66fd21d3f986b0","0.036","Fri, 29 Jan 2021 05:28:38 GMT","","","","HTTP/1.1","https://www.cybozu.com/jp/buy/partner/"
"https://www.cybozu.com/jp/buy/renew","text/html; charset=iso-8859-1","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","243","0","0.000","1","","120","60","96.770","0","0","0","0","","","","","","0.095","","http://www.cybozu.com/jp/buy/renew/","HTTP Redirect","","HTTP/1.1","https://www.cybozu.com/jp/buy/renew"
"https://www.cybozu.com/jp/inquiry","text/html; charset=iso-8859-1","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","241","0","0.000","1","","180","60","96.770","0","0","0","0","","","","","","0.102","","http://www.cybozu.com/jp/inquiry/","HTTP Redirect","","HTTP/1.1","https://www.cybozu.com/jp/inquiry"
"https://www.cybozu.com/jp/src/images/common/ico-buy_reflesh.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.119","Fri, 31 May 2019 09:11:29 GMT","","","","HTTP/1.1","https://www.cybozu.com/jp/src/images/common/ico-buy_reflesh.svg"
"https://www.cybozu.com/jp/security/","text/html; charset=UTF-8","200","OK","Indexable","","セキュリティ｜サイボウズのクラウドサービスについて　cybozu.com","36","627","サイボウズのクラウドサービスはお客様のポリシーに応じて設定できるよう、Basic認証やIPアドレス制限、クライアント証明書によるセキュアアクセスなど様々な機能を提供しています。","88","1181","グループウェア,クラウド,サイボウズ,サイボーズ,cybozu,saas,asp,低価格,office,kintone,キントーン,garoon,ガルーン,kunai,サイボウズドットコム,モバイル,スマートフォン","107","","0","セキュリティ","6","導入相談","4","各製品サービスサイト","10","","","","","","","","","","48953","96","6.332","1","","5","3","4.840","95","48","50","40","","","","","66ccb52521973c36c9915630af809272","0.029","Fri, 29 Jan 2021 05:28:39 GMT","","","","HTTP/1.1","https://www.cybozu.com/jp/security/"
"https://www.cybozu.com/jp/support/tutorial/","text/html; charset=UTF-8","200","OK","Indexable","","cybozu.comかんたんご利用ガイド | サイボウズ製品サイト cybozu.com","44","637","サイボウズのクラウドサービスOfficeやGaroon（ガルーン）、kintoneなど様々なコラボレーションツールの試用方法やFAQ、メンテナンス予定などサポート関連の情報はこちらをご覧ください。","98","1224","グループウェア,クラウド,サイボウズ,サイボーズ,cybozu,saas,asp,低価格,office,kintone,キントーン,garoon,ガルーン,kunai,サイボウズドットコム,モバイル,スマートフォン","107","","0","サポート","4","導入相談","4","各製品サービスサイト","10","","","","","","","","","","43276","60","4.738","1","","5","3","4.840","76","42","57","45","","","","","524a87e6858a469e8022bf3faf25f73e","0.119","Wed, 03 Feb 2021 00:54:10 GMT","","","","HTTP/1.1","https://www.cybozu.com/jp/support/tutorial/"
"https://www.cybozu.com/jp/src/lib/dropdown/dropdown.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.020","Fri, 31 May 2019 09:11:37 GMT","","","","HTTP/1.1","https://www.cybozu.com/jp/src/lib/dropdown/dropdown.js"
"https://www.cybozu.com/jp/security/disaster_control/","text/html; charset=UTF-8","200","OK","Indexable","","災害対策 | サイボウズ製品サイト cybozu.com","28","410","サイボウズのクラウド、それは15,000社を超える企業の業務改善を支える、セキュアなプラットフォーム。お客様のポリシーに応じて設定できるよう、Basic認証やIPアドレス制限、クライアント証明書によるセキュアアクセスなど様々な機能を提供しています。","124","1645","グループウェア,クラウド,サイボウズ,サイボーズ,cybozu,saas,asp,低価格,office,kintone,キントーン,garoon,ガルーン,kunai,サイボウズドットコム,モバイル,スマートフォン","107","","0","セキュリティ","6","導入相談","4","各製品サービスサイト","10","","","","","","","","","","41282","51","5.138","1","","5","3","4.840","80","47","45","36","","","","","7c3c0c4e04796f25b69f1c5159f66d81","0.023","Fri, 29 Jan 2021 05:28:39 GMT","","","","HTTP/1.1","https://www.cybozu.com/jp/security/disaster_control/"
